time, Quad.Pos.Y, Quad.Est.Y, Quad.Vel.Y, Quad.Est.VY
2.030035,0.000244,0.000225,-0.000087,-0.000094
2.035035,0.000243,0.000224,-0.000208,-0.000240
2.040035,0.000242,0.000223,-0.000324,-0.000337
2.045034,0.000240,0.000221,-0.000429,-0.000470
2.050034,0.000238,0.000219,-0.000519,-0.000548
2.055033,0.000235,0.000215,-0.000593,-0.000647
2.060033,0.000232,0.000213,-0.000651,-0.000700
2.065033,0.000228,0.000209,-0.000690,-0.000758
2.070032,0.000225,0.000205,-0.000712,-0.000782
2.075032,0.000221,0.000201,-0.000715,-0.000797
2.080032,0.000218,0.000198,-0.000702,-0.000791
2.085031,0.000214,0.000193,-0.000679,-0.000767
2.090031,0.000211,0.000190,-0.000650,-0.000745
2.095031,0.000208,0.000185,-0.000620,-0.000709
2.100030,0.000205,0.000183,-0.000589,-0.000684
2.105030,0.000202,0.000179,-0.000557,-0.000646
2.110029,0.000199,0.000176,-0.000527,-0.000621
2.115029,0.000197,0.000172,-0.000502,-0.000587
2.120029,0.000194,0.000170,-0.000484,-0.000569
2.125028,0.000192,0.000167,-0.000475,-0.000553
2.130028,0.000189,0.000164,-0.000480,-0.000551
2.135028,0.000187,0.000161,-0.000499,-0.000566
2.140027,0.000184,0.000159,-0.000536,-0.000589
2.145027,0.000182,0.000155,-0.000596,-0.000650
2.150027,0.000178,0.000153,-0.000682,-0.000711
2.155026,0.000175,0.000148,-0.000792,-0.000832
2.160026,0.000170,0.000145,-0.000919,-0.000930
2.165025,0.000165,0.000139,-0.001058,-0.001092
2.170025,0.000160,0.000134,-0.001199,-0.001205
2.175025,0.000153,0.000127,-0.001337,-0.001371
2.180024,0.000146,0.000121,-0.001470,-0.001478
2.185024,0.000138,0.000112,-0.001598,-0.001633
2.190024,0.000130,0.000105,-0.001718,-0.001731
2.195023,0.000121,0.000095,-0.001824,-0.001863
2.200023,0.000112,0.000087,-0.001909,-0.001936
2.205023,0.000102,0.000075,-0.001966,-0.002014
2.210022,0.000092,0.000067,-0.001995,-0.002043
2.215022,0.000082,0.000055,-0.001997,-0.002052
2.220021,0.000072,0.000047,-0.001977,-0.002039
2.225021,0.000062,0.000035,-0.001943,-0.002001
2.230021,0.000053,0.000027,-0.001905,-0.001969
2.235020,0.000043,0.000015,-0.001873,-0.001926
2.240020,0.000034,0.000007,-0.001856,-0.001908
2.245020,0.000025,-0.000004,-0.001863,-0.001907
2.250019,0.000015,-0.000012,-0.001894,-0.001926
2.255019,0.000006,-0.000024,-0.001945,-0.001981
2.260019,-0.000004,-0.000032,-0.002009,-0.002030
2.265018,-0.000015,-0.000044,-0.002081,-0.002114
2.270018,-0.000025,-0.000052,-0.002153,-0.002172
2.275017,-0.000036,-0.000066,-0.002222,-0.002257
2.280017,-0.000047,-0.000075,-0.002283,-0.002308
2.285017,-0.000059,-0.000089,-0.002334,-0.002372
2.290016,-0.000071,-0.000098,-0.002379,-0.002409
2.295016,-0.000083,-0.000113,-0.002419,-0.002459
2.300016,-0.000095,-0.000123,-0.002455,-0.002489
2.305015,-0.000107,-0.000138,-0.002487,-0.002529
2.310015,-0.000120,-0.000148,-0.002514,-0.002552
2.315015,-0.000133,-0.000163,-0.002536,-0.002579
2.320014,-0.000145,-0.000173,-0.002552,-0.002594
2.325014,-0.000158,-0.000189,-0.002559,-0.002607
2.330014,-0.000171,-0.000200,-0.002552,-0.002605
2.335013,-0.000184,-0.000215,-0.002526,-0.002582
2.340013,-0.000196,-0.000225,-0.002482,-0.002550
2.345012,-0.000208,-0.000241,-0.002420,-0.002482
2.350012,-0.000220,-0.000250,-0.002347,-0.002425
2.355012,-0.000232,-0.000265,-0.002267,-0.002330
2.360011,-0.000243,-0.000274,-0.002188,-0.002265
2.365011,-0.000253,-0.000287,-0.002112,-0.002172
2.370011,-0.000264,-0.000296,-0.002042,-0.002113
2.375010,-0.000274,-0.000309,-0.001979,-0.002033
2.380010,-0.000284,-0.000317,-0.001925,-0.001987
2.385010,-0.000293,-0.000329,-0.001879,-0.001928
2.390009,-0.000302,-0.000336,-0.001842,-0.001896
2.395009,-0.000311,-0.000347,-0.001810,-0.001854
2.400008,-0.000320,-0.000355,-0.001780,-0.001830
2.405008,-0.000329,-0.000366,-0.001751,-0.001795
2.410008,-0.000338,-0.000373,-0.001722,-0.001772
2.415007,-0.000346,-0.000383,-0.001694,-0.001737
2.420007,-0.000355,-0.000390,-0.001667,-0.001716
2.425007,-0.000363,-0.000401,-0.001639,-0.001683
2.430006,-0.000371,-0.000407,-0.001605,-0.001658
2.435006,-0.000379,-0.000417,-0.001564,-0.001613
2.440006,-0.000387,-0.000424,-0.001518,-0.001577
2.445005,-0.000394,-0.000433,-0.001466,-0.001518
2.450005,-0.000401,-0.000439,-0.001411,-0.001474
2.455004,-0.000408,-0.000448,-0.001353,-0.001405
2.460004,-0.000415,-0.000453,-0.001295,-0.001358
2.465004,-0.000421,-0.000461,-0.001237,-0.001288
2.470003,-0.000427,-0.000466,-0.001181,-0.001242
2.475003,-0.000433,-0.000474,-0.001128,-0.001177
2.480003,-0.000438,-0.000478,-0.001077,-0.001135
2.485002,-0.000444,-0.000485,-0.001027,-0.001074
2.490002,-0.000449,-0.000489,-0.000980,-0.001035
2.495002,-0.000453,-0.000495,-0.000938,-0.000982
